fbus,tbus
22001,22002
22001,22002
22002,22003
22002,22003
11001,11004
11001,11010
11001,11010
11001,11006
11001,11005
11001,11003
11001,11002
22002,11001
11001,3501
22002,3501
22002,11001
11001,3501
22002,3501
3501,3502
3501,3513
3501,3514
3501,1011
3501,1010
3501,3503
3501,3503
3501,1009
3501,3504
3501,3505
3503,1006
3503,1006
3503,1008
3503,1008
3504,1007
3504,1007
3505,3504
3505,1009
3505,1010
3505,1011
3505,1012
3505,1012
3505,1013
3505,1013
3506,1014
3506,1014
3506,3507
3506,3507
3506,3512
3507,3514
3512,3514
3512,1015
3512,1015
3514,1017
3514,1017
11005,11012
11003,1001
1001,3505
3505,11003
11004,1001
1001,3505
3505,11004
11005,1002
1002,3506
3506,11005
11005,1002
1002,3506
3506,11005
11006,1003
1003,3507
3507,11006
11006,1003
1003,3507
3507,11006
11006,11007
3507,3513
11007,11010
11007,1004
1004,3508
3508,11007
11007,1004
1004,3508
3508,11007
3508,3510
3508,1019
11010,11008
11010,11009
11008,1005
1005,3509
3509,11008
11009,1005
1005,3509
3509,11009
3509,3511
3509,3511
11010,11011
22003,22004
22003,22004
22005,22004
22005,22004
11011,11013
11011,22005
11011,22005
11011,11014
11013,1029
1029,3526
3526,11013
11014,1029
1029,3526
3526,11014
22003,11010
11010,3516
3516,22003
22003,11010
11010,3516
3516,22003
22004,11011
11011,3517
3517,22004
22004,11011
11011,3517
3517,22004
3517,1026
3517,1026
3509,1022
3509,1022
3511,1020
3511,1020
3518,1021
3518,1021
3508,3521
3516,3518
3516,3518
3516,3522
3516,3522
3516,3519
3516,3520
3517,3523
3517,3523
3523,1027
3523,1027
3517,3524
3517,3524
3524,3525
3524,3525
3524,1028
3524,1028
3526,3527
3526,3527
3527,1030
3527,1030
3519,1023
3520,1023
3521,3522
3521,1024
3521,1024
3522,1025
3522,1025
3513,3515
3513,1019
3513,1016
3513,1016
3515,1018
8801,3501
8802,3516
8803,3516
8804,3517
8806,1706
1706,1708
1708,8807
1708,1713
1713,10151
10151,17511
17511,5050
5050,12377
17511,17617
17617,10118
17617,10543
1713,1721
1721,9475
1721,1766
1766,5094
